id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,八种情感分析
4470207571831709,Itsq17GvH,5583186646,明天37330,降低新冠病毒感染风险，为什么新风机远不如开窗通风好使？清华教授把道理讲给你听O网页链接,,,,,0,0,0,2020-02-10 00:00,iPhone客户端,['http://ww3.sinaimg.cn/large/0065QtTwgy1gbqlcx0dl5j305u05uglf.jpg'],,,"{'words': 24, 'sentences': 2, '好': 2, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4470207562874043,Itsq0c3Fx,1645773865,深圳卫视,【《天使之美》｜献给全国抗击新冠肺炎前线的白衣天使！】这是一场没有硝烟的战争，最美的逆行者——白衣天使们，与时间赛跑，与病魔较量，奋战在疫区战场，他们用一次次无怨无悔的冲锋陷阵，诠释着白衣天使的意义。MV《天使之美》聚焦一线医护工作，旋律悠阔，歌词真挚，在处理上手法上，从全套防护的医护工作者入手，通过特效处理的线条勾勒，生动展现出医护工作者奋战的场景，与歌曲相得益彰，温暖感人。作词：吴广江万泽作曲：江万泽监制：江万泽王亮编曲/录音/混音：JasonMiro@UMStudio和声：小晖王亮演唱：洪茜茜监制：中共深圳市委宣传部出品：深圳广播电影电视集团录制：深圳广播电影电视集团娱乐中心《天使之美》歌词虽然不知道你是谁但我知道你很累很累风里雨里几多回最美风景是你坚实的背口罩遮住了你的嘴但我知道你很美很美生死线上千百回最美风景是身边感动的泪奋战沙场无怨悔危难之时爱相随万里山河作口碑白衣天使你最美L深圳卫视的微博视频,,,UM,,11,3,21,2020-02-09 23:59,MV · 视频社区,,"http://f.video.weibocdn.com/002XcIOdgx07APlBGJPq01041200uRFn0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1611145139&ssig=zyU%2FBLMmvy&KID=unistore,video",,"{'words': 233, 'sentences': 4, '好': 10, '乐': 2, '哀': 1, '怒': 0, '惧': 1, '恶': 1, '惊': 0}"
4470207551040185,ItspZ4mBb,3645961760,doodle天空,2-9《岁月静好～因为有人替我们负重前行》9日，宋睿医生同医院15名同事一起，随四川省第六批援助湖北医疗队出征。原来，这一天是宋睿的岳母火化的日子。凌晨，他接到出征湖北抗击新冠肺炎的指令，磕了三个头后拎起行李离开了家奔赴前线。在前往机场的路上，他流着泪写了这样一段话：“妈，我是女婿，也是您的孩子。我陪您与病魔抗争九个月，看到您日渐虚弱，终因不治撒手人寰，目睹这过程，心痛不已。今日您即将要化作一缕青烟，通往极乐，我却不能送您一程。祖国母亲的大地正在被一场疫情笼罩，作为孩子，我绝不能袖手旁观，作为中共党员，我必须冲锋在前。我今天不能尽孝，只因我要去治愈祖国母亲的创伤，抚去她的泪痕。作为孩子，义不容辞，责无旁贷。您是母亲，一定懂得孩子的心情吧。”致敬一线医务工作者！期盼健康平安归来！🙏🙏🙏我分享了O“妈，我没能尽孝”岳母火化当日他磕三个头后出征湖北,,,,,0,0,0,2020-02-09 23:59,HUAWEI Mate 8,,,,"{'words': 236, 'sentences': 13, '好': 14, '乐': 1, '哀': 4, '怒': 0, '惧': 1, '恶': 2, '惊': 1}"
4470207525520514,ItspWna8y,6984739677,五芒矜持,新增4例！截至2月8日13时，辽宁累计确诊新冠肺炎病例103例@沈阳沈北公安O新增4例！截至2月8日13时，辽宁累计确诊新冠肺炎病例103例,,,沈阳沈北公安,,0,0,0,2020-02-09 23:59,Android,['http://ww3.sinaimg.cn/large/007CHfRzly1gbqlcou4u6j3046046jra.jpg'],,,"{'words': 45, 'sentences': 3, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 2, '恶': 0, '惊': 0}"
4470207520797739,ItspW3lwL,2462383392,i-會飛的魚,变异流感VS新冠病毒，危机来临的时候，责任与推诿，正义与邪恶，英雄与小丑，勇敢与畏惧，亲情与冷漠，总是体现的那么淋漓精致。L优酷电影的优酷视频@优酷,,,优酷,,0,0,0,2020-02-09 23:59,优酷安卓手机客户端,,http://type=feedvideo&objectid=1007002:4463665051533351&keys=4463665058153355&cover_img=https://vthumb.ykimg.com/054102015A0C59D38B78D21F01029910&card_height=231&card_width=412&play_count=56321&short_url=http://t.cn/A6hvTn2v&encode_mode=&bitrate=277&biz_id=231193&current_mid=0&key=tblog_card&title=优酷电影的优酷视频&full_url=https://v.youku.com/v_show/id_XNzA0OTIwMzg4.html&object_id=1007002:4463665051533351&video_src=https://api.youku.com/videos/player/file?data=WcEl5o6uQdTBPVEl3TXpnNHwwfDB8MTAwNTB8MAO0O0OO0O0O,,"{'words': 46, 'sentences': 2, '好': 3, '乐': 0, '哀': 0, '怒': 0, '惧': 2, '恶': 4, '惊': 0}"
4470207512759147,ItspVbzMn,5665277585,mist-driver,刚才看到一则新闻，某新冠肺炎确诊患者二十多天无发烧等状况，有人就怀疑检查体温是否没用。我看到下面有一条评论有点有趣，说新冠肺炎感染肯定服从正态分布，现在感染人数这么多，出现一两例极端情况很正常。突然觉得数学很多思想运用在生活中妙味无穷期待三月的美赛,,,,,0,0,5,2020-02-09 23:59,小米8周年旗舰手机,,,,"{'words': 67, 'sentences': 3, '好': 3, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 2, '惊': 0}"
4470207508680675,ItspUAqeT,1969775387,大通湖公安分局,#关注新冠肺炎#【身相远，心相近！隔离病毒，不隔离爱！俄罗斯友人为中国送来祝福】近日，远在俄罗斯的朋友们为中国抗击新冠肺炎疫情加油，为武汉送来诚挚的祝福。身相远，心相近。隔离病毒，不隔离爱！武汉加油！中国加油！L中新视频的秒拍视频,,,,关注新冠肺炎,0,0,2,2020-02-09 23:59,iPhone客户端,,"http://miaopai.video.weibocdn.com/001MCMSzlx07AP9vA8xi01041200njST0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1611145139&ssig=q1aDb7edC0&KID=unistore,video",,"{'words': 73, 'sentences': 8, '好': 5, '乐': 0, '哀': 0, '怒': 0, '惧': 2, '恶': 0, '惊': 0}"
4470207500266221,ItspU17fT,1850772874,寂寞的边边角,本来央视发了新冠和以前的病毒的相似度很高的微博，结果一群zz网友bbbb的，希望不幸牺牲的人不要再被利用了。pyq看到的：我们批评湖北政府的问题，是希望国家能解决问题。而有些人“批评”问题，是希望借着问题解决国家。,,,,,1,0,4,2020-02-09 23:59,iPhone X,,,,"{'words': 66, 'sentences': 4, '好': 4, '乐': 1, '哀': 1, '怒': 0, '惧': 1, '恶': 2, '惊': 0}"
4470207479088963,ItspRC8sb,1568450860,徐凤文,#新冠肺炎最新动态#瓦特？神马？几个意思？#新型冠状病毒属于SARS冠状病毒#又不对了？几个菜呀，喝成这样？陈院士口误央视新闻能随便报出来？总编辑都睡着了么？行了又不行了不行又行了，原来娘希匹NCP不是娘希匹，新冠病毒不是新冠病毒，现在娘希匹NCP还是娘希匹又是娘希匹了。一到半夜就来事，欺负小姨妈脑子不好使呀，全网#新型冠状病毒属于SARS冠状病毒#热搜及相关帖子全部干掉，介嘛四儿？！介四嘛四儿！？,,,,新冠肺炎最新动态,32,163,223,2020-02-09 23:59,iPhone客户端,"['http://ww1.sinaimg.cn/large/5d7ca92cly1gbql3uc7mcj20v91voe81.jpg', 'http://ww2.sinaimg.cn/large/5d7ca92cly1gbql3ukx70j20qo0z2gqo.jpg', 'http://ww2.sinaimg.cn/large/5d7ca92cly1gbql7yn009j20v91vokjm.jpg', 'http://ww3.sinaimg.cn/large/5d7ca92cly1gbql7xog6hj21x60u0jvn.jpg']",,,"{'words': 116, 'sentences': 11, '好': 2, '乐': 0, '哀': 2, '怒': 0, '惧': 2, '恶': 5, '惊': 1}"
4470207474872115,ItspRkrsv,3949090376,独山县法院,【专家：饭前便后洗手，#粪口传播是可控的#】华中科技大学公共卫生学院副院长徐顺清提醒：新冠病毒是呼吸道传播疾病，#新冠病毒最难对付的是呼吸道传播#。粪口传播目前还没证实，即使证实了，粪口传播也是比较好控制的。每个人要注意个人卫生，饭前便后洗手，在农村地区要加强粪便的管理，就比较好切断传播。粪口传播不是引起大家担心的最大传播方式。L人民日报的微博视频L人民日报的微博视频,,,,"粪口传播是可控的,新冠病毒最难对付的是呼吸道传播",0,0,0,2020-02-09 23:59,HUAWEI Mate 20,,"http://f.video.weibocdn.com/000d9LLIlx07APbCs7X2010412007ho40E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1611145139&ssig=iO9rrXzjmE&KID=unistore,video",,"{'words': 108, 'sentences': 5, '好': 3, '乐': 0, '哀': 0, '怒': 0, '惧': 2, '恶': 3, '惊': 0}"
4470207436900873,ItspNsXep,6099738376,用户6099738376,武汉雷神山医院接收首批新冠肺炎确诊患者O网页链接,,,,,0,0,0,2020-02-09 23:59,iPhone客户端,['http://ww2.sinaimg.cn/large/006ENSB2ly1gbqlcdwm8kj308c08cjs2.jpg'],,,"{'words': 13, 'sentences': 1, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4470207433457411,ItspNevqH,3949090376,独山县法院,【#新发现5种药物对病毒有抑制作用#】中国工程院院士、省新冠肺炎疫情防控科研攻关组专家、华中农业大学教授陈焕春表示：目前初步筛选出3种潜在药物能够在细胞水平抑制病毒复制，用于新冠肺炎的治疗，近期又发现5种药物对病毒有抑制作用。L人民日报的微博视频L人民日报的微博视频,,,,新发现5种药物对病毒有抑制作用,0,0,0,2020-02-09 23:59,HUAWEI Mate 20,,"http://f.video.weibocdn.com/002GOvWklx07APdEi17W010412000ZT20E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1611145139&ssig=4kxvVGJg6V&KID=unistore,video",,"{'words': 72, 'sentences': 2, '好': 2, '乐': 0, '哀': 0, '怒': 0, '惧': 3, '恶': 1, '惊': 0}"
