id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,八种情感分析
4.45571E+15,InnmIbNHK,5780124388.0,夏日池塘小细雨,平安健康。2020.01.0612:20补：知上进。2020.01.3003:23补：勤勤恳恳。2020.01.3102:32念：早学晚学反正都是得学，人生道路反正都不明确。2020.02.0702:48补：图2。【2020.02.06眼科医生/李/文/亮/死于新冠“疫情”“吹哨人”】2020.02.0900:44补：好好说话。2020.02.2100:56补：搞学习哦。2020.02.2116:00补：再短暂也要过喜欢的生活。2020.03.1902:30补：早日同居+终身学习。2020.04.2818:03补：O注定100天后死亡的主角，在全世界的注视下死去2020.06.0819:47补：慎独。,,,,,0,210.0,37,2020/1/1 0:06,,"['http://ww1.sinaimg.cn/large/006jaOoIly1gbo6u9l9qdj30u014011i.jpg', 'http://ww1.sinaimg.cn/large/006jaOoIly1gbo6uaho2mj316f1o04lp.jpg']",,,"{'words': 154, 'sentences': 33, '好': 7, '乐': 1, '哀': 1, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45609E+15,Inx3wqTBB,2780696282.0,方圆婚礼,【方圆婚礼作品分享】2019.12.30众嘉酒楼一眼定情军装配红妆左手牵你右手敬礼往后余生应你亦应国不负祖国不负卿#潮州婚礼##盛宴会馆##庵埠婚礼##新冠园酒楼##汕头婚礼#婚礼#众嘉酒楼#,,,,"潮州婚礼,盛宴会馆,庵埠婚礼,新冠园酒楼,汕头婚礼,众嘉酒楼",0,1.0,0,2020/1/2 0:46,iPhone 7 Plus,"['http://ww1.sinaimg.cn/large/a5be0edagy1gahj7bn02rj21900u049g.jpg', 'http://ww2.sinaimg.cn/large/a5be0edagy1gahj7c3nhvj21900u0n8f.jpg', 'http://ww3.sinaimg.cn/large/a5be0edagy1gahj7b3dpkj21900u0k6f.jpg', 'http://ww1.sinaimg.cn/large/a5be0edagy1gahj7ckx7ej21c00u0qd6.jpg', 'http://ww1.sinaimg.cn/large/a5be0edagy1gahj7d3z2jj21900u07fj.jpg', 'http://ww4.sinaimg.cn/large/a5be0edagy1gahj7dkaorj20u0190gt2.jpg']",,,"{'words': 52, 'sentences': 3, '好': 1, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.46117E+15,IpFeZ8QbR,2607890143.0,MikaHHH,#与你有关的许多小事#1、用了一个陈年暖水袋，破洞把自个儿腿上烫破了一片，烧伤科的医生说二度伤，应该会留疤，出了医院忍不住掉了几颗金豆豆，你看我贼不开心跟我说：“你要是不喜欢这个疤咱们就纹个情侣的纹身把它盖住”（之前我提议的时候你可是一万个拒绝纹身），现在已经好了，万幸没有增生，只有一些色差，因为你，我觉得有疤一点也没什么。2、坐高铁回家，一般你请假都会送我，但今天有面试没有办法，（其实我每次出差大包小包都是女汉子自己拿，只有你还把我当女娃了）。早上你出门之后过了一阵又回来，不是忘带东西了，而是把你信用卡给我，让我去休息室休息（老刘的卡可以免费在高铁贵宾室休息）怕春运高铁站人多我没地儿休息暖。3、可能是妈妈得癌症的关系，你对会致癌的东西各种预防，最近我减肥，你给我煎牛排，手艺嘛…煎的有点糊，我这人不拘小节直接开吃，你却虎口夺食，把糊了的那点都给我弄掉才让我吃。4、老刘的公司每年年终都会用汇款单的形式给家属发3000块钱，今年我很早就回家了，想着年后领也不迟，没想到今年新冠疫情爆发，在家呆到了快3月，邮政给我打电话说再不去领就过期了。我给老刘说要他去邮局领一下，并不远，老刘因为疫情拒绝了我，说这3000块钱不要了也不能冒这个险（他已经在北京的家里一个月没出门了）……结局：邮政大姐把汇款单送上了门，老刘签收了。（感恩）结论：老刘真的是我见过最怕死的。关于他怕死的小事我可以写很多件，所以老刘一个人在北京我也很放心。5、坐高铁去崇礼滑雪，回来在清河站下车，我回家，老刘去昌平，都很远，但老刘坚持送我打车回家，然后自己转头去坐地铁了，说要省钱。,,,,与你有关的许多小事,0,14.0,12,2020/1/16 1:17,iPhone客户端,['http://ww2.sinaimg.cn/large/9b713edfly1gaxgiu91pwj20u0140do0.jpg'],,,"{'words': 473, 'sentences': 10, '好': 3, '乐': 5, '哀': 0, '怒': 1, '惧': 1, '恶': 2, '惊': 0}"
4.46186E+15,IpX9z1EwB,5032462939.0,一只居小桔,焦虑症我开始担心自己会不会得新冠性病了呜呜呜呜呜呜呜呜呜呜呜呜,,,,,0,1.0,0,2020/1/17 22:53,焦虑症超话,,,,"{'words': 17, 'sentences': 1, '好': 0, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 1, '惊': 0}"
4.46248E+15,Iqdrp3CLp,1846255052.0,MollyLee李游梦兰,瞄了一下WHO2019新冠病毒指南解读（当然是缺乏进一步研究的基础上参考中东那次出的指南）没看出什么道道来春节我还是乖乖留在小地方躲人流～早点出结果我2月底的演唱会了不能出差迟我对3个月前球迷之夜那事还气着嘞……,,,,,0,4.0,1,2020/1/19 16:21,iPhone客户端,,,,"{'words': 67, 'sentences': 1, '好': 1, '乐': 0, '哀': 0, '怒': 0, '惧': 1, '恶': 1, '惊': 0}"
4.46247E+15,IqdbKjjyq,5615902458.0,天与地与人一,武汉新冠病毒要赶快查出病毒源是什么，如何防治，防控，春运大湖已到。根子是从什么地方产生的。找到了根源，问题就好解决。,,,,,0,0.0,0,2020/1/19 15:42,nova4自拍极点全面屏,,,,"{'words': 35, 'sentences': 4, '好': 0, '乐': 1, '哀': 0, '怒': 0, '惧': 1, '恶': 0, '惊': 0}"
4.46207E+15,Iq2Ewu6lA,2523730235.0,妇科杜欣医生,#欣语医事##子宫腺肌症##健康中国2030##欣语医事##新型冠状病毒肺炎##周四诊间纪事#武汉又出名了，新冠怎么在武汉发源还真是让人费解！不过在新冠和流感共同肆虐武汉的时候，在春节即将到来之前，门诊病患还是不少。前天门诊来了一位子宫腺肌症的病人，她可谓是久病成医啊，为得到更好的治疗，她走南闯北，北上找到@协和张羽进行咨询，最后在药物保守治疗一段时间以后又辗转找到我这里。我根据她的子宫腺肌症的分型以及她的年龄和生育要求等等因素综合考虑，建议她采取子宫腺肌瘤腹腔镜挖除再上曼月乐环进行管理，最终保住子宫，控制症状，平安过度到绝经期。她很满意我的建议，我也很欢喜这样的患者，把病情和治疗方案自己做足了功课，我给她一讲她立马明白，也能很快达成共识。下面图一是MRI图片，非常清晰地显示是一种局灶性腺肌瘤，非常适合腹腔镜挖除再用曼月乐环进行长期管理。图二是6针GNRH-a之后腺肌瘤明显缩小。可以预见她的手术效果肯定会很好，达到预期目标也没有问题。我有大量的这样治疗的病人在长期随访中，效果都相当不错，没有一例再次手术切除子宫的。其实腺肌症比肌瘤术后管理的手段更有效，效果更好。虽说手术治疗的腺肌症的病人不少，其实更多的病人是通过保守治疗，但前提是病情没那么重，子宫没那么大。所以，大家有痛经、月经增多等不适尽早就医，重视每年体检，子宫腺肌症越早干预手段越多效果越好。,,,协和张羽,"欣语医事,子宫腺肌症,健康中国2030,新型冠状病毒肺炎,周四诊间纪事",1,0.0,6,2020/1/18 12:53,iPhone X,"['http://ww3.sinaimg.cn/large/966d113bly1gb0mgkkv5wj20u0140gt0.jpg', 'http://ww1.sinaimg.cn/large/966d113bly1gb0mglomvoj20u0141jzn.jpg']",,,"{'words': 348, 'sentences': 13, '好': 10, '乐': 4, '哀': 0, '怒': 0, '惧': 0, '恶': 9, '惊': 0}"
4.45607E+15,InwKwjtIk,1595690352.0,Dear_Christin,2020年第一天，宝宝晚上发烧了。上个月的肺炎经历还历历在目，不觉又开始揪心。目前低烧安稳睡觉中，告诉自己勿要着急。为了缓解情绪刚才又翻了一遍裴医生的文章，作为母亲真不知需要经历多少煎熬才可以挺到孩子完善免疫力的那一天。新年最大的愿望唯有一家人平安健康尔。,,,,,0,2.0,3,2020/1/1 23:59,三星Galaxy S10+,,,,"{'words': 74, 'sentences': 6, '好': 3, '乐': 5, '哀': 2, '怒': 0, '惧': 0, '恶': 1, '惊': 0}"
4.45607E+15,InwK6CaNX,1941026282.0,JENNYJENNY-MONITONG,2020年的第一天住进医院肺炎无声无息就来了好在孩子大了非常配合心情不错胃口更不错三天后又是一条龙,,,,,0,16.0,7,2020/1/1 23:58,iPhone 11 Pro,['http://ww4.sinaimg.cn/large/73b1b5ealy1gahi5j84u6j232p1uf4qq.jpg'],,,"{'words': 28, 'sentences': 1, '好': 3, '乐': 0, '哀': 0, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
4.45607E+15,InwK3EvEf,5557634524.0,Levinge,#武汉发现不明原因肺炎#什么时候专项组能出消息啊，，，武汉百万大学生呢，我好怕到时候回家的时候在火车站被传染啊,,,,武汉发现不明原因肺炎,0,0.0,0,2020/1/1 23:58,HUAWEI P30,,,,"{'words': 34, 'sentences': 1, '好': 0, '乐': 0, '哀': 1, '怒': 0, '惧': 0, '恶': 0, '惊': 0}"
